

*******************************************************************************
Ephemeris / WWW_USER Tue Apr 14 10:13:30 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:33.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260413.p260710
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-13. PREDICTS-> 2026-JUL-09
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461132.832326389, A.D. 2026-Apr-02 07:58:33.0000, -2.816709480010667E+04, -6.368240134433287E+04, -5.541916569560814E+03,  5.365796462977750E-01, -1.229589477914306E+00, -1.049313078291148E-01,
2461132.842743055, A.D. 2026-Apr-02 08:13:33.0000, -2.767106616314596E+04, -6.475904416766601E+04, -5.633745150607312E+03,  5.654573484053806E-01, -1.163140130590420E+00, -9.914906127436102E-02,
2461132.853159722, A.D. 2026-Apr-02 08:28:33.0000, -2.714970228807851E+04, -6.577637822209507E+04, -5.720413690528509E+03,  5.928988764121197E-01, -1.097773222563129E+00, -9.346287677982179E-02,
2461132.863576389, A.D. 2026-Apr-02 08:43:33.0000, -2.660424721067400E+04, -6.673532770725118E+04, -5.802004242263127E+03,  6.190099246102634E-01, -1.033379034755529E+00, -8.786309337537096E-02,
2461132.873993055, A.D. 2026-Apr-02 08:58:33.0000, -2.603585533267213E+04, -6.763672163686935E+04, -5.878590481452957E+03,  6.438842645621533E-01, -9.698555769111238E-01, -8.234073931941210E-02,
2461132.884409722, A.D. 2026-Apr-02 09:13:33.0000, -2.544560144095826E+04, -6.848130031768800E+04, -5.950238284253930E+03,  6.676052803238370E-01, -9.071075515002993E-01, -7.688743982189972E-02,
2461132.894826389, A.D. 2026-Apr-02 09:28:33.0000, -2.483448946022020E+04, -6.926972095609116E+04, -6.017006227511982E+03,  6.902472557566016E-01, -8.450454470299955E-01, -7.149533640163069E-02,
2461132.905243055, A.D. 2026-Apr-02 09:43:33.0000, -2.420346014170130E+04, -7.000256249849281E+04, -6.078946020833188E+03,  7.118764579953363E-01, -7.835847386501872E-01, -6.615701588673484E-02,
2461132.915659722, A.D. 2026-Apr-02 09:58:33.0000, -2.355291368210736E+04, -7.067996844390247E+04, -6.135898410806050E+03,  7.548852763824325E-01, -7.059759116547819E-01, -5.143449190122321E-02,
2461132.926076389, A.D. 2026-Apr-02 10:13:33.0000, -2.287490189817405E+04, -7.129566009380011E+04, -6.184239303080314E+03,  7.527271390953969E-01, -6.616350035265637E-01, -5.550530598147027E-02,
2461132.936493055, A.D. 2026-Apr-02 10:28:33.0000, -2.218887469880047E+04, -7.186404473819387E+04, -6.231846028353008E+03,  7.716433137307527E-01, -6.014945972629947E-01, -5.029070470639338E-02,
2461132.946909722, A.D. 2026-Apr-02 10:43:33.0000, -2.148618721673523E+04, -7.237844001398276E+04, -6.274770694017534E+03,  7.897523782356675E-01, -5.416501102393867E-01, -4.510149682672696E-02,
2461132.957326389, A.D. 2026-Apr-02 10:58:33.0000, -2.076755269304417E+04, -7.283908404277127E+04, -6.313035128092433E+03,  8.070870511188771E-01, -4.820360302688343E-01, -3.993364531357327E-02,
2461132.967743055, A.D. 2026-Apr-02 11:13:33.0000, -2.003365285974275E+04, -7.324615376216479E+04, -6.346655900663336E+03,  8.236804769465139E-01, -4.225849683061888E-01, -3.478128102070557E-02,
2461132.978159722, A.D. 2026-Apr-02 11:28:33.0000, -1.928514140381585E+04, -7.359976601856596E+04, -6.375644351227256E+03,  8.395618840705675E-01, -3.632307078919026E-01, -2.963864347820130E-02,
2461132.988576389, A.D. 2026-Apr-02 11:43:33.0000, -1.852264736325007E+04, -7.389997843732573E+04, -6.400006670298491E+03,  8.547568617397313E-01, -3.039077962868945E-01, -2.450004513105780E-02,
2461132.998993055, A.D. 2026-Apr-02 11:58:33.0000, -1.774677829635177E+04, -7.414678993096850E+04, -6.419743949396041E+03,  8.692875866028972E-01, -2.445511476417182E-01, -1.935983671373051E-02,
2461133.009409722, A.D. 2026-Apr-02 12:13:33.0000, -1.695674961588314E+04, -7.434005844896848E+04, -6.434000067848421E+03,  8.885371667948815E-01, -1.847736439726867E-01, -1.088451786399151E-02,
2461133.019826389, A.D. 2026-Apr-02 12:28:33.0000, -1.615097557248308E+04, -7.447953472435824E+04, -6.441425983800917E+03,  9.018800052144978E-01, -1.251458631108064E-01, -5.670789818326499E-03,
2461133.030243055, A.D. 2026-Apr-02 12:43:33.0000, -1.533355343506539E+04, -7.456525772576142E+04, -6.444198886107257E+03,  9.144670664816077E-01, -6.569193314937512E-02, -3.066022852306373E-04,
2461133.040659722, A.D. 2026-Apr-02 12:58:33.0000, -1.450504634732704E+04, -7.459706307861255E+04, -6.442271525550354E+03,  9.265347644998394E-01, -5.149264918308933E-03,  4.702645612137549E-03,
2461133.051076389, A.D. 2026-Apr-02 13:13:33.0000, -1.366598113564083E+04, -7.457449008591988E+04, -6.435689880063313E+03,  9.379535691776695E-01,  5.537900319501302E-02,  9.928433529840436E-03,
2461133.061493055, A.D. 2026-Apr-02 13:28:33.0000, -1.281690773396191E+04, -7.449724842616185E+04, -6.424390033522806E+03,  9.487756997812000E-01,  1.163487365213350E-01,  1.518856963345828E-02,
2461133.071909722, A.D. 2026-Apr-02 13:43:33.0000, -1.195836435476040E+04, -7.436490786201993E+04, -6.408338271350982E+03,  9.589986809790060E-01,  1.778335464618852E-01,  2.048931911372200E-02,
2461133.082326389, A.D. 2026-Apr-02 13:58:33.0000, -1.109089019959278E+04, -7.417697053573428E+04, -6.387495116544553E+03,  9.686212503906263E-01,  2.399101662322893E-01,  2.583722019107844E-02,
2461133.092743055, A.D. 2026-Apr-02 14:13:33.0000, -1.021502779835815E+04, -7.393286796195628E+04, -6.361815086138307E+03,  9.776380586920910E-01,  3.026589296611488E-01,  3.123909554897351E-02,
2461133.103159722, A.D. 2026-Apr-02 14:28:33.0000, -9.331326013550426E+03, -7.363195749814996E+04, -6.331246406790280E+03,  9.860403467207697E-01,  3.661644038324250E-01,  3.670211006027044E-02,
2461133.113576389, A.D. 2026-Apr-02 14:43:33.0000, -8.440343215157956E+03, -7.327351823456927E+04, -6.295730681800134E+03,  9.938156998825729E-01,  4.305160683634058E-01,  4.223382737142856E-02,
2461133.123993055, A.D. 2026-Apr-02 14:58:33.0000, -7.542650704744270E+03, -7.285674623722459E+04, -6.255202504315101E+03,  1.000947738471361E+00,  4.958090764230675E-01,  4.784227310462275E-02,
2461133.134409722, A.D. 2026-Apr-02 15:13:33.0000, -6.638836450903895E+03, -7.238074906312206E+04, -6.209589010182939E+03,  1.007415733454068E+00,  5.621451138668536E-01,  5.353600601766151E-02,
2461133.144826389, A.D. 2026-Apr-02 15:28:33.0000, -5.729509209041562E+03, -7.184453945099130E+04, -6.158809362599128E+03,  1.013194134376232E+00,  6.296333760675088E-01,  5.932419871648736E-02,
2461133.155243055, A.D. 2026-Apr-02 15:43:33.0000, -4.815303111087847E+03, -7.124702807077483E+04, -6.102774159065342E+03,  1.018251992730011E+00,  6.983916863212453E-01,  6.521672986733193E-02,
2461133.165659722, A.D. 2026-Apr-02 15:58:33.0000, -3.896882830392604E+03, -7.058701519308946E+04, -6.041384749401615E+03,  1.022552259038944E+00,  7.685477843649623E-01,  7.122429022038984E-02,
2461133.176076389, A.D. 2026-Apr-02 16:13:33.0000, -2.974949444634769E+03, -6.986318110858035E+04, -5.974532450983337E+03,  1.026050926833108E+00,  8.402408208273654E-01,  7.735850535438260E-02,
2461133.186493055, A.D. 2026-Apr-02 16:28:33.0000, -2.050247151517476E+03, -6.907407509405146E+04, -5.902097644732537E+03,  1.028695988412053E+00,  9.136231010706810E-01,  8.363207865439587E-02,
2461133.196909722, A.D. 2026-Apr-02 16:43:33.0000, -1.123571025131371E+03, -6.821810267683178E+04, -5.823948731700078E+03,  1.030426157762973E+00,  9.888621329984650E-01,  9.005895893229343E-02,
2461133.207326389, A.D. 2026-Apr-02 16:58:33.0000, -1.957760476190953E+02, -6.729351089434941E+04, -5.739940925686453E+03,  1.031169302679054E+00,  1.066143047074075E+00,  9.665453819062836E-02,
2461133.217743055, A.D. 2026-Apr-02 17:13:33.0000,  7.322122896781086E+02, -6.629837117664216E+04, -5.649914851770132E+03,  1.030840510555459E+00,  1.145671474809550E+00,  1.034358864731970E-01,
2461133.228159722, A.D. 2026-Apr-02 17:28:33.0000,  1.659385443284364E+03, -6.523055939177018E+04, -5.553694913557385E+03,  1.029339688563678E+00,  1.227676995582108E+00,  1.104220326235859E-01,
2461133.238576389, A.D. 2026-Apr-02 17:43:33.0000,  2.584636857350833E+03, -6.408773248182973E+04, -5.451087382959708E+03,  1.026548566447097E+00,  1.312417292880604E+00,  1.176343022631401E-01,
2461133.248993055, A.D. 2026-Apr-02 17:58:33.0000,  3.506743972952554E+03, -6.286730097241358E+04, -5.341878154708033E+03,  1.022326925356537E+00,  1.400183202823479E+00,  1.250967276107148E-01,
2461133.259409722, A.D. 2026-Apr-02 18:13:33.0000,  4.424285700647624E+03, -6.156641929970206E+04, -5.225683302203593E+03,  1.018548659282672E+00,  1.492073041318002E+00,  1.279018110185670E-01,
2461133.269826389, A.D. 2026-Apr-02 18:28:33.0000,  5.335023595132768E+03, -6.018218621705644E+04, -5.100498421154825E+03,  1.008976218574371E+00,  1.586161233802510E+00,  1.407089374479429E-01,
2461133.280243055, A.D. 2026-Apr-02 18:43:33.0000,  6.238872755783502E+03, -5.871043008122830E+04, -4.969995037218330E+03,  9.992702419854367E-01,  1.685162519103447E+00,  1.492263150957848E-01,
